Title;Issn;SJR Best Quartile;Categories
Nature Reviews Microbiology;17401534, 17401526;Q1;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
Annual Review of Psychology;00664308, 15452085;Q1;Psychology (miscellaneous) (Q1)
American Economic Journal: Macroeconomics;19457707, 19457715;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
Nature Reviews Earth and Environment;2662138X;Q1;"Atmospheric Science (Q1); Earth-Surface Processes (Q1); Nature and Landscape Conservation (Q1); Pollution (Q1)"
Nature Reviews Chemistry;23973358;Q1;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
Journal of Marketing;15477185, 00222429;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Journal of Economic Literature;00220515;Q1;Economics and Econometrics (Q1)
Annual Review of Astronomy and Astrophysics;15454282, 00664146;Q1;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Annual Review of Organizational Psychology and Organizational Behavior;23270608;Q1;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
The Lancet Diabetes and Endocrinology;22138595, 22138587;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
Annual Review of Pathology: Mechanisms of Disease;15534006, 15534014;Q1;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
Journal of Econometrics;03044076, 18726895;Q1;"Applied Mathematics (Q1); Economics and Econometrics (Q1)"
Physiological Reviews;15221210, 00319333;Q1;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
Immunity;10974180, 10747613;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
Signal Transduction and Targeted Therapy;20593635, 20959907;Q1;"Cancer Research (Q1); Genetics (Q1)"
The Lancet;01406736, 1474547X;Q1;Medicine (miscellaneous) (Q1)
Cell Metabolism;15504131, 19327420;Q1;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
Nature Cancer;26621347;Q1;"Cancer Research (Q1); Oncology (Q1)"
The Lancet Neurology;14744465, 14744422;Q1;Neurology (clinical) (Q1)
MMWR supplements;23808942, 23808950;Q1;Medicine (miscellaneous) (Q1)
Nature Photonics;17494885;Q1;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
Chemical Society Reviews;03060012, 14604744;Q1;Chemistry (miscellaneous) (Q1)
The Lancet Gastroenterology and Hepatology;24681253;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
eLight;26628643, 20971710;Q1;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
The Lancet Oncology;14702045, 14745488;Q1;Oncology (Q1)
Journal of Clinical Oncology;15277755, 0732183X;Q1;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Nature Neuroscience;10976256, 15461726;Q1;Neuroscience (miscellaneous) (Q1)
Nature Electronics;25201131;Q1;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
Joule;25424351;Q1;Energy (miscellaneous) (Q1)
Kidney International Supplements;21571716, 21571724;Q1;Nephrology (Q1)
Nature Reviews Cardiology;17595010, 17595002;Q1;Cardiology and Cardiovascular Medicine (Q1)
Journal of Hepatology;16000641, 01688278;Q1;Hepatology (Q1)
Reviews of Geophysics;19449208, 87551209;Q1;Geophysics (Q1)
Energy and Environmental Science;17545692, 17545706;Q1;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Academy of Management Journal;00014273;Q1;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Science;10959203, 00368075;Q1;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
Administrative Science Quarterly;00018392, 19303815;Q1;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
Nature Immunology;15292908, 15292916;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
Handbook of Industrial Organization;1573448X;Q1;"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
Journal of Hematology and Oncology;17568722;Q1;"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)"
Organizational Research Methods;15527425, 10944281;Q1;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Strategic Management Journal;10970266, 01432095;Q1;"Business and International Management (Q1); Strategy and Management (Q1)"
Nature Biomedical Engineering;2157846X;Q1;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)"
Nature Reviews Gastroenterology and Hepatology;17595045, 17595053;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
Nature Reviews Physics;25225820;Q1;Physics and Astronomy (miscellaneous) (Q1)
Annual Review of Condensed Matter Physics;19475454, 19475462;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
NBER Macroeconomics Annual;15372642, 08893365;Q1;Economics and Econometrics (Q1)
eScience;20972431, 26671417;Q1;"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Morbidity and Mortality Weekly Report;01492195, 1545861X;Q1;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
Annual Review of Biochemistry;15454509, 00664154;Q1;Biochemistry (Q1)
Astronomy and Astrophysics Review;09354956, 14320754;Q1;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Nature Reviews Neuroscience;14710048, 1471003X;Q1;Neuroscience (miscellaneous) (Q1)
Cell Stem Cell;19345909, 18759777;Q1;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
Molecular Cancer;14764598;Q1;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
Endocrine Reviews;19457189, 0163769X;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
Annals of Mathematics Studies;00662313;Q1;Mathematics (miscellaneous) (Q1)
Acta Mathematica;00015962;Q1;Mathematics (miscellaneous) (Q1)
Molecular Cell;10974164, 10972765;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Journal of the American College of Cardiology;15583597, 07351097;Q1;Cardiology and Cardiovascular Medicine (Q1)
Gut;14683288, 00175749;Q1;Gastroenterology (Q1)
Advanced Materials;09359648, 15214095;Q1;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
Cell Research;17487838, 10010602;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Psychological Bulletin;00332909, 19391455;Q1;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
Circulation;00097322, 15244539;Q1;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
Journal of Management;01492063, 15571211;Q1;"Finance (Q1); Strategy and Management (Q1)"
Annals of Mathematics;0003486X;Q1;"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
American Economic Journal: Applied Economics;19457790, 19457782;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
Progress in Materials Science;18732208, 00796425;Q1;Materials Science (miscellaneous) (Q1)
Journal of Consumer Research;00935301, 15375277;Q1;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
European Urology;18737560, 03022838;Q1;Urology (Q1)
The Lancet Public Health;24682667;Q1;Public Health, Environmental and Occupational Health (Q1)
Journal of Accounting Research;1475679X, 00218456;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Advanced Energy Materials;16146832, 16146840;Q1;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
JAMA Oncology;23742445, 23742437;Q1;"Cancer Research (Q1); Oncology (Q1)"
Annual Review of Public Health;01637525, 15452093;Q1;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Journal of Economic Perspectives;08953309;Q1;Economics and Econometrics (Q1)
Annual Review of Fluid Mechanics;15454479, 00664189;Q1;Condensed Matter Physics (Q1)
Annual Review of Plant Biology;15452123, 15435008;Q1;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
Review of Finance;1573692X, 15723097;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Science Immunology;24709468;Q1;"Immunology (Q1); Immunology and Allergy (Q1)"
Innovation;26666758;Q1;Multidisciplinary (Q1)
Nano-Micro Letters;23116706, 21505551;Q1;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)"
Annual Review of Economics;19411383, 19411391;Q1;Economics and Econometrics (Q1)
Nature Climate Change;17586798, 1758678X;Q1;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
Progress in Energy and Combustion Science;03601285;Q1;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
Organization Science;15265455, 10477039;Q1;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
Annual Review of Clinical Psychology;15485951, 15485943;Q1;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Nature Reviews Bioengineering;27316092;Q1;"Applied Microbiology and Biotechnology (Q1); Biomedical Engineering (Q1); Biophysics (Q1)"
Advances in Optics and Photonics;19438206;Q1;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
Journal of Thoracic Oncology;15561380, 15560864;Q1;"Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1)"
American Economic Journal: Economic Policy;19457731, 1945774X;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
Nature Reviews Endocrinology;17595037, 17595029;Q1;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
Journal of Monetary Economics;03043932;Q1;"Economics and Econometrics (Q1); Finance (Q1)"
Annual Review of Physiology;00664278, 15451585;Q1;Physiology (Q1)
Electrochemical Energy Reviews;25208136, 25208489;Q1;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)"
Nucleic Acids Research;03051048, 13624962;Q1;Genetics (Q1)
Nature Cell Biology;14764679, 14657392;Q1;Cell Biology (Q1)
Marketing Science;07322399, 1526548X;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Nature Metabolism;25225812;Q1;"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)"
Journal of Accounting and Economics;01654101;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Journal of the European Economic Association;15424774, 15424766;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
The Lancet Psychiatry;22150374, 22150366;Q1;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
Living Reviews in Solar Physics;16144961, 23673648;Q1;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Review of Economics and Statistics;00346535, 15309142;Q1;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
Interdisciplinary Materials;2767441X, 27674401;Q1;Materials Science (miscellaneous) (Q1)
Nature Reviews Nephrology;1759507X, 17595061;Q1;Nephrology (Q1)
Foundations and Trends in Signal Processing;19328346, 19328354;Q1;Signal Processing (Q1)
Nature Sustainability;23989629;Q1;"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)"
Cancer Discovery;21598274, 21598290;Q1;Oncology (Q1)
Gastroenterology;15280012, 00165085;Q1;"Gastroenterology (Q1); Hepatology (Q1)"
Nature Physics;17452473;Q1;Physics and Astronomy (miscellaneous) (Q1)
Annual Review of Neuroscience;0147006X, 15454126;Q1;Neuroscience (miscellaneous) (Q1)
Nature Aging;26628465;Q1;"Aging (Q1); Geriatrics and Gerontology (Q1); Neuroscience (miscellaneous) (Q1)"
Cell Host and Microbe;19346069, 19313128;Q1;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
Nature Reviews Psychology;27310574;Q1;"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1)"
Materials Science and Engineering R: Reports;0927796X;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Journal of the American Mathematical Society;10886834, 08940347;Q1;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
IEEE Journal on Selected Areas in Communications;07338716;Q1;"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
Neuro-Oncology;15228517, 15235866;Q1;"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
Journal of Marketing Research;00222437, 15477193;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Advances in Methods and Practices in Psychological Science;25152459, 25152467;Q1;Psychology (miscellaneous) (Q1)
Annual Review of Political Science;10942939, 15451577;Q1;Sociology and Political Science (Q1)
Journal of the Academy of Marketing Science;00920703, 15527824;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Nature Microbiology;20585276;Q1;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
Entrepreneurship Theory and Practice;10422587, 15406520;Q1;"Business and International Management (Q1); Economics and Econometrics (Q1)"
Organization Theory;26317877;Q1;"Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
The Lancet Digital Health;25897500;Q1;"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)"
Journal of Applied Psychology;19391854, 00219010;Q1;Applied Psychology (Q1)
ACS Energy Letters;23808195;Q1;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Annual Review of Medicine;1545326X, 00664219;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Annual Review of Cell and Developmental Biology;15308995, 10810706;Q1;"Cell Biology (Q1); Developmental Biology (Q1)"
The Lancet Respiratory Medicine;22132619, 22132600;Q1;Pulmonary and Respiratory Medicine (Q1)
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;16181913, 00738301;Q1;Mathematics (miscellaneous) (Q1)
Neuron;10974199, 08966273;Q1;Neuroscience (miscellaneous) (Q1)
Science Translational Medicine;19466234, 19466242;Q1;Medicine (miscellaneous) (Q1)
Nature Chemistry;17554330, 17554349;Q1;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
Clinical Psychology Review;18737811, 02727358;Q1;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
Acta Numerica;14740508, 09624929;Q1;"Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1)"
Pharmacological Reviews;15210081, 00316997;Q1;"Molecular Medicine (Q1); Pharmacology (Q1)"
Journal of Human Resources;15488004, 0022166X;Q1;"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
Annual Review of Marine Science;19410611, 19411405;Q1;Oceanography (Q1)
Diabetes Care;19355548, 01495992;Q1;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
Fungal Diversity;15602745, 18789129;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
Annual Review of Genetics;15452948, 00664197;Q1;Genetics (Q1)
Physical Review X;21603308;Q1;Physics and Astronomy (miscellaneous) (Q1)
Journal of Labor Economics;0734306X, 15375307;Q1;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
Cancer Communications;25233548;Q1;"Cancer Research (Q1); Oncology (Q1)"
The Lancet Planetary Health;25425196;Q1;"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Innovation Geoscience;29598753;Q1;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
American Journal of Political Science;00925853, 15405907;Q1;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
International Journal of Information Management;02684012;Q1;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)"
Qualitative Research in Psychology;14780895, 14780887;Q1;Psychology (miscellaneous) (Q1)
Proceedings of the IEEE;15582256, 00189219;Q1;"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)"
Cell Genomics;2666979X;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Genetics (Q1)"
JAMA Neurology;21686157, 21686149;Q1;Neurology (clinical) (Q1)
Journal of Business Venturing;08839026;Q1;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
iMeta;2770596X, 27705986;Q1;"Biotechnology (Q1); Microbiology (Q1)"
Nature Structural and Molecular Biology;15459993, 15459985;Q1;"Molecular Biology (Q1); Structural Biology (Q1)"
Inventiones Mathematicae;00209910, 14321297;Q1;Mathematics (miscellaneous) (Q1)
Nano Research Energy;27910091, 27908119;Q1;"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
Progress in Polymer Science;00796700;Q1;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
Nature Food;26621355;Q1;"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1)"
Analytic Methods in Accident Research;22136657;Q1;"Safety Research (Q1); Transportation (Q1)"
Annual Review of Financial Economics;19411367, 19411375;Q1;"Economics and Econometrics (Q1); Finance (Q1)"
Journal of Service Research;10946705, 15527379;Q1;"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
Chem;24519308, 24519294;Q1;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
Nature Water;27316084;Q1;"Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Water Science and Technology (Q1)"
Science Robotics;24709476;Q1;"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)"
JAMA Cardiology;23806583, 23806591;Q1;Cardiology and Cardiovascular Medicine (Q1)
Cellular and Molecular Immunology;20420226, 16727681;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1)"
Annual Review of Earth and Planetary Sciences;00846597;Q1;"Astronomy and Astrophysics (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Space and Planetary Science (Q1)"
Nature Machine Intelligence;25225839;Q1;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)"
The Lancet Global Health;2572116X, 2214109X;Q1;Medicine (miscellaneous) (Q1)
Nature Protocols;17502799, 17542189;Q1;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Psychological Science in the Public Interest;21600031, 15291006;Q1;Psychology (miscellaneous) (Q1)
Progress in Retinal and Eye Research;13509462, 18731635;Q1;"Ophthalmology (Q1); Sensory Systems (Q1)"
Journal of Experimental Medicine;00221007, 15409538;Q1;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
Nature Reviews Neurology;17594766, 17594758;Q1;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
Blood;15280020, 00064971;Q1;"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)"
Review of Accounting Studies;15737136, 13806653;Q1;"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1)"
Cement and Concrete Research;00088846;Q1;"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
ACM Computing Surveys;03600300, 15577341;Q1;"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)"
Educational Psychologist;15326985, 00461520;Q1;Developmental and Educational Psychology (Q1)
Energy Storage Materials;24058297;Q1;"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
JAMA Psychiatry;21686238, 2168622X;Q1;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Materials Today;13697021, 18734103;Q1;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Physics Reports;03701573;Q1;Physics and Astronomy (miscellaneous) (Q1)
Annals of the Rheumatic Diseases;00034967, 14682060;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
Management Science;00251909, 15265501;Q1;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
Genome Biology;1474760X, 14747596;Q1;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
Journal of the National Cancer Institute;14602105, 00278874;Q1;"Cancer Research (Q1); Oncology (Q1)"
Carbon Energy;26379368;Q1;"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
